"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Chase Prime Visa (8863)","","07/03/2022","Amazon","Fun Money: Melanie's Discretionary 🌱","Fun Money","Melanie's Discretionary 🌱","Cook book",$18.77,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/03/2022","NINTENDO DIGITAL","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$17.89,$0.00,"Reconciled"
"Apple Card","","07/03/2022","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$16.73,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/03/2022","Audible","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$14.95,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","07/03/2022","Einstein Bros. Bagels","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.90,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","07/03/2022","Barnes & Noble","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$6.37,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/02/2022","Whole Foods","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$102.05,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/02/2022","Amazon Web Services","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$1.28,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/01/2022","Tires Plus","Variable Expenses: Repairs 🛠","Variable Expenses","Repairs 🛠","",$652.67,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/01/2022","Paul's Pool Service Inc","Fixed Monthly Expenses: Pool Service 🏊","Fixed Monthly Expenses","Pool Service 🏊","",$300.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","07/01/2022","Tobu","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.01,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/01/2022","Amazon Kids","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$6.99,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","07/01/2022","Patreon","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$4.00,$0.00,"Reconciled"
"Shared Checking (1852)","","06/30/2022","Transfer to Venmo","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$165.00,$0.00,"Reconciled"
"Apple Card","","06/30/2022","MONTHLY INSTALLMENTS (9 OF 12)","Hidden Categories: Macbook Airs 💻","Hidden Categories","Macbook Airs 💻","",$112.50,$0.00,"Reconciled"
"Apple Card","","06/30/2022","MONTHLY INSTALLMENTS (9 OF 12)","Hidden Categories: Macbook Airs 💻","Hidden Categories","Macbook Airs 💻","",$82.50,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/30/2022","Back Yard Burgers","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$63.70,$0.00,"Reconciled"
"Apple Card","","06/30/2022","MONTHLY INSTALLMENTS (9 OF 12)","Hidden Categories: Macbook Airs 💻","Hidden Categories","Macbook Airs 💻","",$13.25,$0.00,"Reconciled"
"Apple Card","","06/30/2022","MONTHLY INSTALLMENTS (9 OF 12)","Hidden Categories: Macbook Airs 💻","Hidden Categories","Macbook Airs 💻","",$13.25,$0.00,"Reconciled"
"Apple Card","","06/29/2022","TJ MAXX #1100 3899 W LAKE MARY BLVD LAKE MARY 32746 FL USA","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$110.54,$0.00,"Reconciled"
"Shared Checking (1852)","","06/29/2022","Transfer to Venmo","Hidden Categories: Therapy 🧑‍⚕️","Hidden Categories","Therapy 🧑‍⚕️","",$100.00,$0.00,"Reconciled"
"Shared Checking (1852)","","06/29/2022","Transfer to Venmo","Variable Expenses: Home Improvement 🏗️","Variable Expenses","Home Improvement 🏗️","",$100.00,$0.00,"Reconciled"
"Shared Checking (1852)","","06/29/2022","Transfer to Venmo","Hidden Categories: Therapy 🧑‍⚕️","Hidden Categories","Therapy 🧑‍⚕️","",$100.00,$0.00,"Reconciled"
"TrustCo Checking","","06/28/2022","Transfer : Longwood Mortgage","Paying Off: Mortgage 🏘","Paying Off","Mortgage 🏘","",$1320.84,$0.00,"Reconciled"
"Colin's Checking (4074)","","06/28/2022","Honda Financial","Hidden Categories: Car 🚗","Hidden Categories","Car 🚗","",$494.15,$0.00,"Reconciled"
"Citi Costco Card","","06/28/2022","Costco","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$278.10,$0.00,"Reconciled"
"Apple Card","","06/28/2022","PATRIOT AQUATICS - 536991 SAND LAKE RD 407-8622207 32714 FL USA","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$202.50,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/28/2022","Hca Local Hospital","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$102.07,$0.00,"Reconciled"
"Apple Card","","06/28/2022","UBER EATS 1455 MARKET ST 8005928996 94103 CA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$90.98,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/28/2022","Chipdrop","Variable Expenses: Home Improvement 🏗️","Variable Expenses","Home Improvement 🏗️","",$60.00,$0.00,"Reconciled"
"Apple Card","","06/28/2022","STARBUCKS 800-782-72822401 UTAH AVE S 800-782-7282 98134 WA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$13.43,$0.00,"Reconciled"
"Apple Card","","06/28/2022","UBER EATS 1455 MARKET ST 8005928996 94103 CA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$13.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/28/2022","Paramount+","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$11.39,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/28/2022","Steam","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$3.74,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/27/2022","National Risk Sol","Fixed Monthly Expenses: Home Insurance 💥","Fixed Monthly Expenses","Home Insurance 💥","",$387.50,$0.00,"Reconciled"
"Colin's Checking (4074)","","06/27/2022","Klarna","Hidden Categories: Trampoline 🦘","Hidden Categories","Trampoline 🦘","",$108.28,$0.00,"Reconciled"
"Shared Checking (1852)","","06/27/2022","","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$95.99,$0.00,"Uncleared"
"Shared Checking (1852)","","06/27/2022","Zelle Transfer to Jan","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$60.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/27/2022","Pollo Tropical","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$40.16,$0.00,"Reconciled"
"Shared Checking (1852)","","06/27/2022","","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$23.98,$0.00,"Uncleared"
"Shared Checking (1852)","","06/27/2022","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$4.60,$0.00,"Uncleared"
"Chase Disney Visa (0810)","","06/27/2022","Wawa","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$3.09,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/26/2022","Speech","Hidden Categories: Therapy 🧑‍⚕️","Hidden Categories","Therapy 🧑‍⚕️","",$390.00,$0.00,"Reconciled"
"Apple Card","","06/26/2022","WARBY PARKER 233 SPRING ST 6TH FL EAST NEW YORK CITY10013 NY USA","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$195.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/26/2022","Whole Foods","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$98.60,$0.00,"Reconciled"
"Apple Card","","06/26/2022","WARBY PARKER 233 SPRING ST 6TH FL EAST NEW YORK CITY10013 NY USA","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$95.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/26/2022","Spectrum","Fixed Monthly Expenses: Cable & Internet 🖥️","Fixed Monthly Expenses","Cable & Internet 🖥️","",$74.99,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/26/2022","Amazon","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","Pumpkin",$31.84,$0.00,"Reconciled"
"Apple Card","","06/26/2022","SP AWESOME-COFFEE 5845 SANDPIPER DRIVE MISSOULA 59808 MT USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$23.54,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/26/2022","Caliber Car Wash Winter","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$10.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/26/2022","Nintendo","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$3.99,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/26/2022","Google Drive","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$1.99,$0.00,"Reconciled"
"Apple Card","","06/25/2022","TRADER JOE'S #765 QPS 131 N ORLANDO AVE WINTER PARK 32789 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$141.99,$0.00,"Reconciled"
"Citi Costco Card","","06/25/2022","Wawa","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$77.35,$0.00,"Reconciled"
"Citi Costco Card","","06/25/2022","SunPass","Day to Day Variables: Tolls/Parking/Commute💰","Day to Day Variables","Tolls/Parking/Commute💰","",$25.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/24/2022","Pediatric Dentistry","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$283.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/24/2022","Integrative Animal Hospital","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$69.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/24/2022","Wawa","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$35.02,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/24/2022","Amazon","Variable Expenses: Gifts/Presents 🎁","Variable Expenses","Gifts/Presents 🎁","Pen for Calina",$21.39,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/24/2022","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","Cold packs (need to return)",$20.28,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/24/2022","Nintendo","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$5.99,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/24/2022","Pediatric Dentistry","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$5.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/23/2022","Orlando Sportsplex","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$51.76,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/23/2022","Jimmy Hulas","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$30.31,$0.00,"Reconciled"
"Shared Checking (1852)","","06/23/2022","","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$24.99,$0.00,"Uncleared"
"Chase Disney Visa (0810)","","06/23/2022","Bruster's Real Ice Cream","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$13.63,$0.00,"Reconciled"
"Shared Checking (1852)","","06/23/2022","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$13.04,$0.00,"Uncleared"
"Chase Disney Visa (0810)","","06/23/2022","Sportsplex Athltc","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$10.47,$0.00,"Reconciled"
"Colin's Checking (4074)","","06/22/2022","Duke Energy","Fixed Monthly Expenses: Electricity 💡","Fixed Monthly Expenses","Electricity 💡","",$355.74,$0.00,"Reconciled"
"Shared Checking (1852)","","06/22/2022","Water Service","Fixed Monthly Expenses: Utilities 🚿","Fixed Monthly Expenses","Utilities 🚿","",$168.73,$0.00,"Reconciled"
"Shared Checking (1852)","","06/22/2022","Transfer to Venmo","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$60.00,$0.00,"Reconciled"
"Apple Card","","06/21/2022","SQ *JOYCE LEMOS AERIAL7224 SANDSCOVE COURT GOSQ.COM 32792 FL USA","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$343.25,$0.00,"Reconciled"
"Shared Checking (1852)","","06/21/2022","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$241.44,$0.00,"Reconciled"
"Shared Checking (1852)","","06/21/2022","Transfer to Venmo","Hidden Categories: Therapy 🧑‍⚕️","Hidden Categories","Therapy 🧑‍⚕️","",$200.00,$0.00,"Reconciled"
"Shared Checking (1852)","","06/21/2022","Target","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$50.80,$0.00,"Reconciled"
"Colin's Checking (4074)","","06/21/2022","Tma","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$37.12,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/21/2022","Amazon","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","Pumpkin",$31.84,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/21/2022","Bruster's Real Ice Cream","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$28.90,$0.00,"Reconciled"
"Apple Card","Red","06/21/2022","ALPHAWOLF401.WIXSITE.C500 TERRY A FRANCOIS BLVD FL. 6 SAN FRANCISCO94158 CA USA","Variable Expenses: Unknown","Variable Expenses","Unknown","",$25.63,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/21/2022","Bruster's Real Ice Cream","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.63,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/21/2022","PDQ","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$5.54,$0.00,"Reconciled"
"Shared Checking (1852)","","06/21/2022","Target","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$5.00,$0.00,"Reconciled"
"Shared Checking (1852)","","06/21/2022","Target","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$2.46,$0.00,"Reconciled"
"Citi Costco Card","","06/20/2022","Costco","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$170.87,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/20/2022","Tokyo Asian Cuisine Inc","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$141.74,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/20/2022","","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","Pumpkin",$46.23,$0.00,"Uncleared"
"Chase Prime Visa (8863)","","06/20/2022","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$16.99,$0.00,"Uncleared"
"Apple Card","","06/20/2022","DUNKIN' MOBILE 130 ROYALL STREET. 8004470013 02021 MA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$10.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/20/2022","Nintendo","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$7.49,$0.00,"Reconciled"
"Apple Card","","06/20/2022","WAWA 5280 000528034256 ALOMA AVENUE WINTER PARK 32792 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$4.03,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/20/2022","Nintendo","Variable Expenses: Holiday/Party Spending 🎉","Variable Expenses","Holiday/Party Spending 🎉","",$1.99,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","Dishes",$146.49,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Epestsupply","Fixed Monthly Expenses: Pest Control 🐜","Fixed Monthly Expenses","Pest Control 🐜","",$139.95,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","AC Filters",$83.93,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/19/2022","7-Eleven","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$77.37,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","The Hangry Bison","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$52.60,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/19/2022","4 Rivers Smokehouse","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$43.46,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","7-Eleven","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$41.40,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Sheridan Radiology Service","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$40.10,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Amazon","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","Elderberrry",$33.95,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Amazon","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$31.45,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Bruster's Real Ice Cream","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$26.90,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$21.84,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/19/2022","Taco Bell","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$19.60,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/19/2022","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","Floss",$15.91,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/19/2022","Total Wine and More","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$1.59,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/17/2022","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$95.51,$0.00,"Reconciled"
"Shared Checking (1852)","","06/17/2022","Zelle Transfer to Jan","Day to Day Variables: Education 🎓","Day to Day Variables","Education 🎓","",$60.00,$0.00,"Reconciled"
"Apple Card","","06/17/2022","PAYPAL *UBER EATS 7700 EASTPORT PARKWAY 4029357733 94105 CA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$46.19,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/17/2022","Reg Winter Park","Fun Money: Date Night 💞","Fun Money","Date Night 💞","",$26.50,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/17/2022","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","Fabric Softener",$23.61,$0.00,"Reconciled"
"Apple Card","","06/17/2022","WAWA 5186 000518621390 E ALTAMONTE DRIVE ALTAMONTE SPR32701 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$11.50,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/17/2022","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","Printer Paper",$9.02,$0.00,"Reconciled"
"Apple Card","","06/17/2022","PAYPAL *UBER EATS 7700 EASTPORT PARKWAY 4029357733 94105 CA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$8.12,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/17/2022","Sem City Animal Services","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$5.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/16/2022","Sanlando Springs Animal","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$271.25,$0.00,"Reconciled"
"Shared Checking (1852)","","06/16/2022","Transfer to Venmo","Fixed Monthly Expenses: Cleaning ✨","Fixed Monthly Expenses","Cleaning ✨","",$165.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/16/2022","T-Mobile","Fixed Monthly Expenses: Phone 📱","Fixed Monthly Expenses","Phone 📱","",$155.15,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/16/2022","Nintendo","Fun Money: Colin's Discretionary 🎮","Fun Money","Colin's Discretionary 🎮","",$22.29,$0.00,"Reconciled"
"Apple Card","","06/16/2022","EOLA COFFEE CO 441 AVALON BOULEVARD ORLANDO 32806 FL USA","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$14.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/16/2022","Amazon","Fixed Monthly Expenses: Phone 📱","Fixed Monthly Expenses","Phone 📱","",$6.64,$0.00,"Reconciled"
"Apple Card","","06/16/2022","WAWA STORE 51700051797919 WEST SR 436 ALTAMONTE SPR32714 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$5.96,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/15/2022","Target","Variable Expenses: Unknown","Variable Expenses","Unknown","",$85.43,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/15/2022","Jimmy Hulas","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$42.45,$0.00,"Reconciled"
"Apple Card","","06/15/2022","APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753 95014 CA USA","Subscriptions ⏱️: Subscriptions to Categorize📺","Subscriptions ⏱️","Subscriptions to Categorize📺","",$31.84,$0.00,"Reconciled"
"Apple Card","","06/15/2022","STARBUCKS 800-782-72822401 UTAH AVE S 800-782-7282 98134 WA USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$25.00,$0.00,"Reconciled"
"Apple Card","","06/15/2022","BACK YARD BURGER - ECO290 S SR 434 ALTAMONTE SPR32714 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$24.62,$0.00,"Reconciled"
"Apple Card","","06/14/2022","WAWA STORE 51700051797919 WEST SR 436 ALTAMONTE SPR32714 FL USA","Day to Day Variables: Fuel/Gasoline 🚘","Day to Day Variables","Fuel/Gasoline 🚘","",$80.91,$0.00,"Reconciled"
"Shared Checking (1852)","","06/13/2022","Transfer to Venmo","Hidden Categories: Therapy 🧑‍⚕️","Hidden Categories","Therapy 🧑‍⚕️","",$250.00,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/13/2022","Fun Spot America","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$204.48,$0.00,"Reconciled"
"Shared Checking (1852)","","06/13/2022","","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$43.10,$0.00,"Uncleared"
"Shared Checking (1852)","","06/13/2022","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$42.00,$0.00,"Uncleared"
"Shared Checking (1852)","","06/13/2022","","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$35.11,$0.00,"Uncleared"
"Shared Checking (1852)","","06/13/2022","","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$25.00,$0.00,"Uncleared"
"Chase Prime Visa (8863)","","06/13/2022","Amazon","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","Garbage bags",$21.39,$0.00,"Reconciled"
"Shared Checking (1852)","","06/13/2022","Target","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$11.68,$0.00,"Reconciled"
"Shared Checking (1852)","","06/13/2022","","Hidden Categories: Household Goods 🏠","Hidden Categories","Household Goods 🏠","",$9.99,$0.00,"Uncleared"
"Chase Prime Visa (8863)","","06/12/2022","Whole Foods","Day to Day Variables: Essentials, Food, Home","Day to Day Variables","Essentials, Food, Home","",$226.74,$0.00,"Reconciled"
"Apple Card","","06/12/2022","PAYPAL *GOFUNDME HELP 7700 EASTPORT PARKWAY 4029357733 94063 CA USA","Variable Expenses: Charity / Giving","Variable Expenses","Charity / Giving","",$157.50,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/12/2022","Amazon","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$55.96,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/12/2022","Amazon","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","Beyblade Launcher, Baby Alive Clothes",$39.14,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/12/2022","Burger King","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$35.77,$0.00,"Reconciled"
"Apple Card","","06/10/2022","KOHL'S #1162 5521 DEEP LAKE RD OVIEDO 32765 FL USA","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$124.32,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/10/2022","Integrative Animal Hospital","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$74.00,$0.00,"Reconciled"
"Chase Disney Visa (0810)","","06/10/2022","All Fired Up","Fun Money: Fun/Entertainment 🎉","Fun Money","Fun/Entertainment 🎉","",$46.01,$0.00,"Reconciled"
"Chase Prime Visa (8863)","","06/10/2022","Integrated","Variable Expenses: Pets 🐾","Variable Expenses","Pets 🐾","",$13.51,$0.00,"Reconciled"
"Shared Checking (1852)","","06/10/2022","Target","Variable Expenses: Medical  / Health🌡","Variable Expenses","Medical  / Health🌡","",$13.36,$0.00,"Reconciled"
"Apple Card","","06/09/2022","PAYPAL *DAVY PIPER 7700 EASTPORT PARKWAY 8882538279 89107 NV USA","Variable Expenses: Clothing/Grooming 👕","Variable Expenses","Clothing/Grooming 👕","",$106.98,$0.00,"Reconciled"
"Apple Card","","06/09/2022","POLLO TROPICAL 10022 O489 WEST SR 436 9727029300 32714 FL USA","Day to Day Variables: Eating Out  🍕","Day to Day Variables","Eating Out  🍕","",$55.36,$0.00,"Reconciled"
